id,ip_address,hasCliques
92,13.124.255.72,1
1054,,1
108,203.86.202.165,1
1055,,1
1029,51.105.129.97,1
1056,,1
1057,,1
1013,52.149.79.64,1
1012,52.149.79.64,1
1041,,1
76,47.244.129.229,1
1009,,1
1008,,1
1007,,1
581,18.182.213.98,1
658,,1
654,159.138.139.165,1
634,,1
624,13.114.57.134,1
620,3.85.202.80,1
617,18.221.31.205,1
616,,1
598,,1
591,35.230.44.247,1
837,139.99.209.74,1
577,35.176.246.147,1
561,128.32.222.11,1
546,,1
534,,1
511,13.229.117.127,1
483,54.169.40.162,1
881,157.245.198.41,1
471,13.57.189.14,1
763,,1
792,,1
773,,1
772,,1
770,,1
769,,1
768,,1
765,,1
764,,1
450,13.57.7.180,1
758,128.1.137.165,1
752,54.238.100.197,1
692,47.52.97.254,1
687,52.5.197.149,1
683,192.81.129.245,1
829,,1
669,47.75.139.186,1
663,,1
206,13.251.212.38,1
267,34.215.107.187,1
948,62.12.169.237,1
955,144.76.25.187,1
237,13.75.88.194,1
957,84.38.135.43,1
224,3.92.100.167,1
223,149.28.10.107,1
220,,1
274,52.194.223.69,1
204,103.41.105.70,1
201,52.79.213.73,1
199,13.230.43.145,1
975,5.254.89.195,1
179,52.71.172.48,1
173,3.112.151.161,1
171,47.91.154.254,1
987,,1
341,52.207.54.232,1
441,3.112.124.216,1
892,,1
900,,1
395,52.138.31.74,1
374,13.57.193.206,1
916,176.9.211.44,1
369,61.97.253.21,1
362,,1
147,18.182.213.98,1
339,,1
324,119.254.81.66,1
310,,1
309,47.88.175.4,1
294,,1
282,34.219.200.76,1
277,,1
275,,1
